Number of Points,Trial Number,Graph Bandwidth,Error
4096,0,0.112658,0.056562
4096,5,0.112658,0.058559
4096,3,0.112658,0.046368
4096,8,0.112658,0.071404
4096,1,0.112658,0.071653
4096,7,0.112658,0.071029
4096,15,0.112658,0.064347
4096,18,0.112658,0.096653
4096,10,0.112658,0.066813
4096,13,0.112658,0.059801
4096,2,0.112658,0.053420
4096,17,0.112658,0.065893
4096,16,0.112658,0.063552
4096,11,0.112658,0.081047
4096,4,0.112658,1.087988
4096,12,0.112658,0.060927
4096,6,0.112658,0.050265
4096,14,0.112658,0.054098
4096,9,0.112658,0.052643
4096,19,0.112658,0.046654
4096,21,0.112658,0.069364
4096,20,0.112658,0.097011
4096,23,0.112658,0.083287
4096,22,0.112658,0.057081
4096,28,0.112658,0.073177
4096,24,0.112658,0.060887
4096,26,0.112658,0.085984
4096,30,0.112658,0.044979
4096,25,0.112658,0.067246
4096,31,0.112658,0.087615
4096,32,0.112658,0.045250
4096,29,0.112658,0.058327
4096,27,0.112658,0.094379
4096,33,0.112658,0.046498
4096,34,0.112658,0.062322
4096,37,0.112658,0.072571
4096,35,0.112658,0.055580
4096,36,0.112658,0.063132
4096,39,0.112658,0.059535
4096,38,0.112658,0.062688
4096,40,0.112658,0.100147
4096,41,0.112658,0.089733
4096,42,0.112658,0.047894
4096,43,0.112658,0.079977
4096,45,0.112658,0.058949
4096,44,0.112658,0.061492
4096,47,0.112658,0.098406
4096,46,0.112658,0.069842
4096,48,0.112658,0.067316
4096,50,0.112658,0.044668
4096,51,0.112658,0.064104
4096,49,0.112658,0.060551
4096,54,0.112658,0.061280
4096,56,0.112658,0.068523
4096,52,0.112658,0.083134
4096,53,0.112658,0.090869
4096,55,0.112658,0.076845
4096,57,0.112658,0.080051
4096,58,0.112658,0.102217
4096,59,0.112658,0.053883
4096,60,0.112658,0.102081
4096,61,0.112658,0.060055
4096,63,0.112658,0.056226
4096,64,0.112658,0.060201
4096,62,0.112658,0.059814
4096,65,0.112658,0.065477
4096,66,0.112658,0.057780
4096,67,0.112658,0.045262
4096,70,0.112658,0.080502
4096,68,0.112658,0.065212
4096,76,0.112658,0.052139
4096,75,0.112658,0.066418
4096,69,0.112658,0.048446
4096,71,0.112658,0.062462
4096,74,0.112658,0.053001
4096,73,0.112658,0.102829
4096,72,0.112658,0.051517
4096,78,0.112658,0.058955
4096,77,0.112658,0.054648
4096,79,0.112658,0.048110
4096,80,0.112658,0.047638
4096,81,0.112658,0.097407
4096,83,0.112658,0.065955
4096,82,0.112658,0.075882
4096,85,0.112658,0.098440
4096,84,0.112658,0.105784
4096,86,0.112658,0.070479
4096,88,0.112658,0.046510
4096,87,0.112658,0.080402
4096,90,0.112658,0.054302
4096,89,0.112658,0.067902
4096,91,0.112658,0.067101
4096,95,0.112658,0.111066
4096,94,0.112658,0.076070
4096,92,0.112658,0.043602
4096,93,0.112658,0.058275
4096,97,0.112658,0.072855
4096,96,0.112658,0.050397
4096,99,0.112658,0.049894
4096,98,0.112658,0.102710
8192,7,0.082914,0.062946
8192,13,0.082914,0.050116
8192,14,0.082914,0.052956
8192,15,0.082914,0.056840
8192,16,0.082914,0.051861
8192,18,0.082914,0.050535
8192,4,0.082914,0.058530
8192,11,0.082914,0.054102
8192,9,0.082914,0.051790
8192,0,0.082914,0.033070
8192,5,0.082914,0.045341
8192,17,0.082914,0.039187
8192,8,0.082914,0.056883
8192,2,0.082914,0.063662
8192,1,0.082914,0.045107
8192,3,0.082914,0.038679
8192,19,0.082914,0.050843
8192,10,0.082914,0.058597
8192,12,0.082914,0.047335
8192,6,0.082914,0.035648
8192,21,0.082914,0.060326
8192,22,0.082914,0.079114
8192,20,0.082914,0.061175
