Number of Points,Trial Number,Graph Bandwidth,Error
4096,19,0.112658,0.003082
4096,13,0.112658,0.005590
4096,14,0.112658,0.003953
4096,15,0.112658,0.003804
4096,16,0.112658,0.002873
4096,8,0.112658,0.004306
4096,12,0.112658,0.015867
4096,6,0.112658,0.003560
4096,1,0.112658,0.004418
4096,3,0.112658,0.004475
4096,7,0.112658,0.003654
4096,0,0.112658,0.002884
4096,9,0.112658,0.023468
4096,5,0.112658,0.003235
4096,11,0.112658,0.002949
4096,2,0.112658,0.002431
4096,18,0.112658,0.003953
4096,10,0.112658,0.253751
4096,17,0.112658,0.259067
4096,4,0.112658,0.002609
8192,3,0.082914,0.007024
8192,18,0.082914,0.006985
8192,13,0.082914,0.002422
8192,5,0.082914,0.002310
8192,9,0.082914,0.006875
8192,16,0.082914,0.003338
8192,10,0.082914,0.290837
8192,11,0.082914,0.007437
8192,19,0.082914,0.001754
8192,8,0.082914,0.003200
8192,0,0.082914,0.002267
8192,12,0.082914,0.005146
8192,6,0.082914,0.004063
8192,14,0.082914,0.001992
8192,1,0.082914,0.002740
8192,15,0.082914,0.002072
8192,7,0.082914,0.219060
8192,2,0.082914,0.002017
8192,4,0.082914,0.001998
8192,17,0.082914,0.030941
16384,9,0.060842,0.117188
16384,4,0.060842,0.314841
16384,3,0.060842,0.052808
16384,18,0.060842,0.004038
16384,6,0.060842,0.040257
16384,11,0.060842,0.077114
16384,13,0.060842,0.001355
16384,5,0.060842,0.001684
16384,8,0.060842,0.004220
16384,17,0.060842,0.062276
16384,12,0.060842,0.009527
16384,16,0.060842,0.021959
16384,2,0.060842,0.001630
16384,14,0.060842,0.005612
16384,10,0.060842,0.273080
16384,19,0.060842,0.008200
16384,7,0.060842,0.001408
16384,15,0.060842,0.262281
16384,0,0.060842,0.123246
16384,1,0.060842,0.084881
