Number of Points,Trial Number,Graph Bandwidth,Error
4096,2,0.112658,0.074867
4096,4,0.112658,0.091210
4096,6,0.112658,0.048635
4096,3,0.112658,0.036422
4096,19,0.112658,0.041080
4096,12,0.112658,0.068316
4096,1,0.112658,0.074570
4096,0,0.112658,0.086485
4096,7,0.112658,0.070798
4096,16,0.112658,0.051952
4096,11,0.112658,0.088701
4096,5,0.112658,0.074350
4096,9,0.112658,0.068407
4096,14,0.112658,0.069145
4096,15,0.112658,0.050097
4096,8,0.112658,0.090808
4096,10,0.112658,0.064200
4096,17,0.112658,0.067307
4096,13,0.112658,0.074110
4096,18,0.112658,0.058503
4096,21,0.112658,0.072812
4096,20,0.112658,0.082074
4096,22,0.112658,0.065392
4096,23,0.112658,0.057719
4096,24,0.112658,0.072081
4096,29,0.112658,0.070763
4096,25,0.112658,0.081373
4096,28,0.112658,0.050996
4096,33,0.112658,0.067881
4096,26,0.112658,0.059807
4096,27,0.112658,0.082293
4096,36,0.112658,0.066288
4096,30,0.112658,0.051782
4096,35,0.112658,0.112852
4096,34,0.112658,0.065998
4096,31,0.112658,0.058528
4096,32,0.112658,0.058841
4096,38,0.112658,0.067313
4096,39,0.112658,0.064398
4096,37,0.112658,0.077928
4096,40,0.112658,0.042886
4096,41,0.112658,0.059047
4096,42,0.112658,0.107634
4096,43,0.112658,0.066020
4096,44,0.112658,0.059121
4096,46,0.112658,0.068056
4096,45,0.112658,0.081224
4096,48,0.112658,0.038937
4096,51,0.112658,0.044609
4096,49,0.112658,0.088425
4096,52,0.112658,0.062831
4096,47,0.112658,0.074423
4096,54,0.112658,0.065031
4096,50,0.112658,0.084041
4096,53,0.112658,0.067461
4096,56,0.112658,0.072930
4096,59,0.112658,0.091398
4096,58,0.112658,0.075870
4096,57,0.112658,0.065217
4096,55,0.112658,0.055112
4096,60,0.112658,0.064226
4096,61,0.112658,0.059233
4096,63,0.112658,0.053104
4096,64,0.112658,0.071494
4096,67,0.112658,0.058968
4096,66,0.112658,0.069558
4096,62,0.112658,0.083542
4096,65,0.112658,0.074784
4096,70,0.112658,0.072746
4096,68,0.112658,0.059827
4096,71,0.112658,0.083342
4096,69,0.112658,0.076989
4096,72,0.112658,0.054343
4096,74,0.112658,0.102133
4096,73,0.112658,0.119350
4096,77,0.112658,0.091015
4096,75,0.112658,0.062369
4096,78,0.112658,0.075459
4096,76,0.112658,0.089919
4096,79,0.112658,0.066004
4096,80,0.112658,0.104249
4096,81,0.112658,0.069256
4096,83,0.112658,0.060610
4096,82,0.112658,0.066284
4096,86,0.112658,0.038416
4096,84,0.112658,0.068847
4096,85,0.112658,0.087709
4096,89,0.112658,0.109738
4096,90,0.112658,0.071773
4096,88,0.112658,0.057418
4096,87,0.112658,0.048005
4096,91,0.112658,0.052206
4096,92,0.112658,0.065549
4096,94,0.112658,0.082902
4096,95,0.112658,0.059703
4096,93,0.112658,0.075688
4096,97,0.112658,0.055194
4096,98,0.112658,0.067676
4096,96,0.112658,0.041604
4096,99,0.112658,0.060744
8192,6,0.082914,0.050882
8192,11,0.082914,0.041258
8192,8,0.082914,0.048350
8192,13,0.082914,0.047773
8192,7,0.082914,0.043474
8192,1,0.082914,0.059325
8192,0,0.082914,0.067579
8192,3,0.082914,0.048628
8192,18,0.082914,0.035355
8192,4,0.082914,0.046394
8192,10,0.082914,0.065632
8192,16,0.082914,0.049913
8192,15,0.082914,0.054287
8192,14,0.082914,0.030808
8192,12,0.082914,0.053128
8192,5,0.082914,0.057436
8192,2,0.082914,0.053752
8192,9,0.082914,0.053976
8192,19,0.082914,0.065998
8192,17,0.082914,0.059569
8192,20,0.082914,0.079314
8192,21,0.082914,0.035271
8192,26,0.082914,0.066243
8192,27,0.082914,0.063555
8192,24,0.082914,0.049886
8192,22,0.082914,0.063212
8192,23,0.082914,0.043185
8192,25,0.082914,0.083585
8192,28,0.082914,0.048688
8192,37,0.082914,0.054075
8192,29,0.082914,0.047325
8192,34,0.082914,0.087839
8192,31,0.082914,0.055297
8192,33,0.082914,0.051810
8192,30,0.082914,0.058671
8192,35,0.082914,0.055043
8192,36,0.082914,0.052104
8192,32,0.082914,0.058363
8192,39,0.082914,0.047263
8192,38,0.082914,0.070933
8192,40,0.082914,0.046681
8192,43,0.082914,0.047751
