Number of Points,Trial Number,Graph Bandwidth,Error
4096,12,0.101328,0.002970
4096,13,0.101328,0.002439
4096,0,0.101328,0.002746
4096,18,0.101328,0.002869
4096,4,0.101328,0.009286
4096,6,0.101328,0.002325
4096,10,0.101328,0.002697
4096,16,0.101328,0.003347
4096,17,0.101328,0.004405
4096,19,0.101328,0.006527
4096,8,0.101328,0.004784
4096,1,0.101328,0.004315
4096,15,0.101328,0.001956
4096,11,0.101328,0.002371
4096,14,0.101328,0.002455
4096,2,0.101328,0.003017
4096,5,0.101328,0.003560
4096,7,0.101328,0.005531
4096,9,0.101328,0.004789
4096,3,0.101328,0.002579
8192,8,0.082600,0.001722
8192,15,0.082600,0.001760
8192,18,0.082600,0.001680
8192,6,0.082600,0.002428
8192,14,0.082600,0.002039
8192,10,0.082600,0.002046
8192,12,0.082600,0.001390
8192,16,0.082600,0.001879
8192,17,0.082600,0.001906
8192,3,0.082600,0.001708
8192,19,0.082600,0.002277
8192,0,0.082600,0.002185
8192,4,0.082600,0.001675
8192,5,0.082600,0.001944
8192,2,0.082600,0.001815
8192,7,0.082600,0.002384
8192,11,0.082600,0.002048
8192,9,0.082600,0.002104
8192,13,0.082600,0.002071
8192,1,0.082600,0.001957
16384,14,0.067201,0.001661
16384,7,0.067201,0.001489
16384,15,0.067201,0.001522
16384,12,0.067201,0.001312
16384,4,0.067201,0.001635
16384,16,0.067201,0.001353
16384,2,0.067201,0.001462
16384,0,0.067201,0.001359
16384,1,0.067201,0.001512
16384,9,0.067201,0.001386
16384,19,0.067201,0.001284
16384,13,0.067201,0.001414
16384,3,0.067201,0.001434
16384,6,0.067201,0.001501
16384,10,0.067201,0.001521
16384,5,0.067201,0.001534
16384,17,0.067201,0.002371
16384,18,0.067201,0.001548
16384,11,0.067201,0.001752
16384,8,0.067201,0.001505
32768,5,0.054579,0.001180
32768,0,0.054579,0.001092
32768,19,0.054579,0.001118
32768,18,0.054579,0.001111
32768,17,0.054579,0.001215
32768,7,0.054579,0.001263
32768,13,0.054579,0.001109
32768,8,0.054579,0.001143
32768,2,0.054579,0.001128
32768,10,0.054579,0.001195
32768,1,0.054579,0.001254
32768,3,0.054579,0.001086
32768,4,0.054579,0.001201
32768,12,0.054579,0.001132
32768,11,0.054579,0.001222
32768,16,0.054579,0.001189
32768,6,0.054579,0.001170
32768,14,0.054579,0.001110
32768,9,0.054579,0.001107
32768,15,0.054579,0.001094
65536,15,0.044263,0.000870
65536,17,0.044263,0.000867
65536,1,0.044263,0.000851
65536,4,0.044263,0.000972
65536,13,0.044263,0.000979
65536,11,0.044263,0.000868
65536,12,0.044263,0.000851
65536,14,0.044263,0.000925
65536,2,0.044263,0.000926
65536,6,0.044263,0.000957
65536,19,0.044263,0.000850
65536,9,0.044263,0.000981
65536,18,0.044263,0.000911
65536,8,0.044263,0.000985
65536,16,0.044263,0.000928
65536,0,0.044263,0.000956
65536,10,0.044263,0.000881
65536,7,0.044263,0.000871
65536,5,0.044263,0.000919
65536,3,0.044263,0.000860
