Number of Points,Trial Number,Graph Bandwidth,Error
4096,0,0.135190,0.023633
4096,9,0.135190,0.022049
4096,4,0.135190,0.029996
4096,1,0.135190,0.030120
4096,3,0.135190,0.021802
4096,6,0.135190,0.025611
4096,8,0.135190,0.024917
4096,11,0.135190,0.025081
4096,12,0.135190,0.027357
4096,2,0.135190,0.031384
4096,13,0.135190,0.022215
4096,5,0.135190,0.020488
4096,10,0.135190,0.022852
4096,7,0.135190,0.024942
4096,19,0.135190,0.024549
4096,16,0.135190,0.021250
4096,17,0.135190,0.029593
4096,18,0.135190,0.025199
4096,14,0.135190,0.024115
4096,15,0.135190,0.024394
4096,20,0.135190,0.023772
4096,22,0.135190,0.020378
4096,21,0.135190,0.026934
4096,23,0.135190,0.020984
4096,24,0.135190,0.029844
4096,25,0.135190,0.022097
4096,26,0.135190,0.019306
4096,27,0.135190,0.029937
4096,32,0.135190,0.023913
4096,28,0.135190,0.035986
4096,29,0.135190,0.029048
4096,30,0.135190,0.022015
4096,35,0.135190,0.024271
4096,34,0.135190,0.027391
4096,31,0.135190,0.019427
4096,33,0.135190,0.028903
4096,36,0.135190,0.021579
4096,37,0.135190,0.024125
4096,38,0.135190,0.021396
4096,39,0.135190,0.024283
4096,40,0.135190,0.022678
4096,41,0.135190,0.023165
4096,42,0.135190,0.024531
4096,43,0.135190,0.022186
4096,44,0.135190,0.020831
4096,45,0.135190,0.021749
4096,46,0.135190,0.026450
4096,48,0.135190,0.026380
4096,47,0.135190,0.025391
4096,49,0.135190,0.028889
4096,50,0.135190,0.022950
4096,52,0.135190,0.020949
4096,51,0.135190,0.024293
4096,53,0.135190,0.021431
4096,56,0.135190,0.022308
4096,55,0.135190,0.023078
4096,54,0.135190,0.024143
4096,57,0.135190,0.029946
4096,59,0.135190,0.028961
4096,58,0.135190,0.024968
4096,60,0.135190,0.023699
4096,61,0.135190,0.020135
4096,63,0.135190,0.027760
4096,64,0.135190,0.024252
4096,62,0.135190,0.023603
4096,66,0.135190,0.028009
4096,65,0.135190,0.023141
4096,67,0.135190,0.020409
4096,71,0.135190,0.023689
4096,69,0.135190,0.031183
4096,70,0.135190,0.025256
4096,73,0.135190,0.024635
4096,72,0.135190,0.019335
4096,68,0.135190,0.022630
4096,74,0.135190,0.020320
4096,76,0.135190,0.024132
4096,77,0.135190,0.020054
4096,75,0.135190,0.029020
4096,78,0.135190,0.024409
4096,79,0.135190,0.023599
4096,80,0.135190,0.021853
4096,81,0.135190,0.028026
4096,82,0.135190,0.024011
4096,83,0.135190,0.021422
4096,84,0.135190,0.026351
4096,85,0.135190,0.023215
4096,86,0.135190,0.022737
4096,87,0.135190,0.032682
4096,89,0.135190,0.023001
4096,88,0.135190,0.022421
4096,90,0.135190,0.021174
4096,91,0.135190,0.025991
4096,93,0.135190,0.023047
4096,96,0.135190,0.020359
4096,94,0.135190,0.021523
4096,92,0.135190,0.019043
4096,97,0.135190,0.023978
4096,95,0.135190,0.028554
4096,98,0.135190,0.029038
4096,99,0.135190,0.021931
8192,9,0.099497,0.017820
8192,8,0.099497,0.018991
8192,12,0.099497,0.021438
8192,10,0.099497,0.020693
8192,3,0.099497,0.015968
8192,2,0.099497,0.018224
8192,18,0.099497,0.016327
8192,0,0.099497,0.020204
8192,19,0.099497,0.021910
8192,17,0.099497,0.021978
8192,14,0.099497,0.017731
8192,13,0.099497,0.023563
8192,1,0.099497,0.017192
8192,5,0.099497,0.018491
8192,4,0.099497,0.019069
8192,16,0.099497,0.018134
8192,15,0.099497,0.017541
8192,6,0.099497,0.019155
8192,11,0.099497,0.018971
8192,7,0.099497,0.021713
8192,20,0.099497,0.018282
8192,21,0.099497,0.020699
8192,27,0.099497,0.019128
8192,22,0.099497,0.016912
8192,24,0.099497,0.017266
8192,25,0.099497,0.022619
