Number of Points,Trial Number,Graph Bandwidth,Error
4096,1,0.137983,0.003349
4096,17,0.137983,0.002572
4096,13,0.137983,0.137597
4096,15,0.137983,0.002388
4096,16,0.137983,0.002616
4096,14,0.137983,0.004423
4096,10,0.137983,0.002337
4096,0,0.137983,0.002495
4096,9,0.137983,0.002921
4096,18,0.137983,0.002946
4096,2,0.137983,0.002705
4096,6,0.137983,0.002973
4096,5,0.137983,0.002066
4096,3,0.137983,0.003117
4096,12,0.137983,0.004011
4096,8,0.137983,0.003069
4096,4,0.137983,0.002606
4096,19,0.137983,0.003375
4096,7,0.137983,0.002097
4096,11,0.137983,0.003034
8192,8,0.118374,0.002421
8192,16,0.118374,0.002862
8192,15,0.118374,0.003045
8192,2,0.118374,0.002734
8192,11,0.118374,0.002760
8192,9,0.118374,0.003580
8192,3,0.118374,0.003327
8192,18,0.118374,0.002393
8192,13,0.118374,0.002795
8192,4,0.118374,0.002669
8192,7,0.118374,0.003249
8192,10,0.118374,0.002605
8192,5,0.118374,0.002482
8192,0,0.118374,0.002812
8192,12,0.118374,0.003589
8192,17,0.118374,0.003046
8192,19,0.118374,0.002274
8192,14,0.118374,0.003251
8192,6,0.118374,0.002851
8192,1,0.118374,0.002591
16384,11,0.101402,0.003078
16384,1,0.101402,0.003029
16384,3,0.101402,0.002945
16384,6,0.101402,0.003400
16384,16,0.101402,0.002636
16384,13,0.101402,0.001808
16384,9,0.101402,0.002922
16384,12,0.101402,0.002396
16384,0,0.101402,0.031994
16384,5,0.101402,0.002570
16384,7,0.101402,0.030061
16384,4,0.101402,0.001789
16384,17,0.101402,0.002387
16384,10,0.101402,0.002608
16384,14,0.101402,0.002376
16384,19,0.101402,0.025009
16384,18,0.101402,0.060033
16384,15,0.101402,0.428258
16384,2,0.101402,0.147677
16384,8,0.101402,0.002405
32768,7,0.086752,0.002464
32768,0,0.086752,0.111868
32768,14,0.086752,0.002195
32768,9,0.086752,0.002420
32768,12,0.086752,0.027188
32768,17,0.086752,0.147041
32768,10,0.086752,0.284185
32768,6,0.086752,0.001921
32768,13,0.086752,0.086194
32768,3,0.086752,0.002544
32768,2,0.086752,0.210370
32768,19,0.086752,0.235396
32768,15,0.086752,0.002132
32768,8,0.086752,0.002588
32768,18,0.086752,0.002282
32768,11,0.086752,0.001859
32768,1,0.086752,0.094635
32768,5,0.086752,0.002455
32768,4,0.086752,0.072866
