Number of Points,Trial Number,Graph Bandwidth,Error
4096,0,0.135190,0.056782
4096,9,0.135190,0.073045
4096,7,0.135190,0.072239
4096,15,0.135190,0.060110
4096,12,0.135190,0.100462
4096,11,0.135190,0.059982
4096,16,0.135190,0.091993
4096,3,0.135190,0.064494
4096,8,0.135190,0.068548
4096,6,0.135190,0.057739
4096,10,0.135190,0.084177
4096,1,0.135190,0.086683
4096,2,0.135190,0.061850
4096,17,0.135190,0.049602
4096,14,0.135190,0.057895
4096,13,0.135190,0.084521
4096,4,0.135190,0.059534
4096,18,0.135190,0.074912
4096,5,0.135190,0.080139
4096,19,0.135190,0.056820
4096,20,0.135190,0.101383
4096,21,0.135190,0.077140
4096,23,0.135190,0.078402
4096,22,0.135190,0.073155
4096,25,0.135190,0.063001
4096,24,0.135190,0.077779
4096,27,0.135190,0.081188
4096,30,0.135190,0.057901
4096,34,0.135190,0.067160
4096,28,0.135190,0.072758
4096,26,0.135190,0.073191
4096,32,0.135190,0.079874
4096,36,0.135190,0.066075
4096,33,0.135190,0.047301
4096,29,0.135190,0.088651
4096,35,0.135190,0.065727
4096,31,0.135190,0.082250
4096,39,0.135190,0.046409
4096,38,0.135190,0.052735
4096,37,0.135190,0.046104
4096,40,0.135190,0.074706
4096,41,0.135190,0.079207
4096,42,0.135190,0.052920
4096,43,0.135190,0.050737
4096,49,0.135190,0.078850
4096,45,0.135190,0.059104
4096,44,0.135190,0.066793
4096,47,0.135190,0.054408
4096,46,0.135190,0.047863
4096,48,0.135190,0.053388
4096,50,0.135190,0.047947
4096,51,0.135190,0.080371
4096,52,0.135190,0.080877
4096,53,0.135190,0.070787
4096,55,0.135190,0.102719
4096,58,0.135190,0.071558
4096,57,0.135190,0.066873
4096,54,0.135190,0.086835
4096,56,0.135190,0.050142
4096,59,0.135190,0.076358
4096,60,0.135190,0.070028
4096,61,0.135190,0.067107
4096,62,0.135190,0.055258
4096,63,0.135190,0.073784
4096,66,0.135190,0.090209
4096,64,0.135190,0.063568
4096,69,0.135190,0.063574
4096,65,0.135190,0.040388
4096,68,0.135190,0.064980
4096,71,0.135190,0.055048
4096,67,0.135190,0.055438
4096,73,0.135190,0.081325
4096,70,0.135190,0.055370
4096,76,0.135190,0.060681
4096,72,0.135190,0.077429
4096,75,0.135190,0.097934
4096,77,0.135190,0.062154
4096,78,0.135190,0.074715
4096,74,0.135190,0.059551
4096,79,0.135190,0.070476
4096,80,0.135190,0.046103
4096,81,0.135190,0.103662
4096,82,0.135190,0.064015
4096,83,0.135190,0.075537
4096,84,0.135190,0.081125
4096,85,0.135190,0.078016
4096,88,0.135190,0.126879
4096,86,0.135190,0.078134
4096,89,0.135190,0.048304
4096,87,0.135190,0.060388
4096,90,0.135190,0.079162
4096,91,0.135190,0.078871
4096,92,0.135190,0.065357
4096,93,0.135190,0.057637
4096,95,0.135190,0.068683
4096,96,0.135190,0.063187
4096,94,0.135190,0.080152
4096,97,0.135190,0.073275
4096,98,0.135190,0.057540
4096,99,0.135190,0.078574
8192,2,0.099497,0.042095
8192,6,0.099497,0.051328
8192,5,0.099497,0.078646
8192,11,0.099497,0.048147
8192,10,0.099497,0.036988
8192,19,0.099497,0.062316
8192,14,0.099497,0.063392
8192,0,0.099497,0.052699
8192,13,0.099497,0.044941
8192,16,0.099497,0.048039
8192,1,0.099497,0.048044
8192,4,0.099497,0.048357
8192,15,0.099497,0.042583
8192,7,0.099497,0.046096
8192,12,0.099497,0.078398
8192,17,0.099497,0.058744
8192,9,0.099497,0.048831
8192,8,0.099497,0.043929
8192,3,0.099497,0.061594
8192,18,0.099497,0.038935
8192,20,0.099497,0.063658
8192,24,0.099497,0.033831
8192,22,0.099497,0.050386
8192,25,0.099497,0.045526
8192,21,0.099497,0.041787
8192,26,0.099497,0.044033
8192,23,0.099497,0.039507
8192,28,0.099497,0.052254
8192,27,0.099497,0.064651
8192,30,0.099497,0.037190
8192,31,0.099497,0.050233
8192,32,0.099497,0.077580
8192,29,0.099497,0.078822
8192,33,0.099497,0.085248
8192,34,0.099497,0.049177
8192,38,0.099497,0.036452
8192,36,0.099497,0.067252
8192,35,0.099497,0.061187
8192,37,0.099497,0.056052
8192,39,0.099497,0.050551
8192,40,0.099497,0.045698
8192,41,0.099497,0.081888
8192,42,0.099497,0.063774
8192,43,0.099497,0.040347
8192,44,0.099497,0.040420
8192,46,0.099497,0.063949
8192,47,0.099497,0.068269
8192,45,0.099497,0.045246
8192,48,0.099497,0.033242
8192,53,0.099497,0.043803
8192,51,0.099497,0.058378
8192,50,0.099497,0.066130
8192,52,0.099497,0.040297
8192,55,0.099497,0.067171
8192,58,0.099497,0.036956
8192,49,0.099497,0.046456
8192,54,0.099497,0.070113
8192,56,0.099497,0.048617
8192,57,0.099497,0.069626
8192,59,0.099497,0.072037
8192,60,0.099497,0.068831
8192,63,0.099497,0.065496
8192,61,0.099497,0.064566
8192,62,0.099497,0.050958
8192,65,0.099497,0.043749
8192,64,0.099497,0.049064
8192,69,0.099497,0.056382
8192,70,0.099497,0.055698
8192,66,0.099497,0.053108
8192,71,0.099497,0.037075
8192,74,0.099497,0.059137
8192,68,0.099497,0.054888
8192,67,0.099497,0.054317
8192,76,0.099497,0.049388
8192,72,0.099497,0.045185
8192,75,0.099497,0.057812
8192,78,0.099497,0.044109
8192,77,0.099497,0.057334
8192,73,0.099497,0.059602
8192,79,0.099497,0.052257
8192,80,0.099497,0.047387
8192,85,0.099497,0.054399
8192,82,0.099497,0.065058
8192,83,0.099497,0.059122
8192,84,0.099497,0.058582
8192,81,0.099497,0.052351
8192,86,0.099497,0.070803
8192,90,0.099497,0.042852
8192,87,0.099497,0.046524
8192,93,0.099497,0.050352
8192,89,0.099497,0.056023
8192,91,0.099497,0.055178
8192,95,0.099497,0.055310
8192,96,0.099497,0.073121
8192,94,0.099497,0.060561
8192,92,0.099497,0.049717
8192,98,0.099497,0.044740
8192,88,0.099497,0.066381
8192,97,0.099497,0.044361
8192,99,0.099497,0.041205
16384,11,0.073011,0.025356
16384,10,0.073011,0.065376
16384,5,0.073011,0.037809
16384,15,0.073011,0.033837
16384,18,0.073011,0.041691
16384,7,0.073011,0.031925
16384,4,0.073011,0.039559
16384,8,0.073011,0.037516
16384,17,0.073011,0.038715
16384,13,0.073011,0.049356
16384,1,0.073011,0.049565
16384,14,0.073011,0.058228
16384,6,0.073011,0.031899
16384,16,0.073011,0.038235
