Number of Points,Trial Number,Graph Bandwidth,Error
4096,2,0.135190,0.003867
4096,0,0.135190,0.003652
4096,4,0.135190,0.003651
4096,3,0.135190,0.003676
4096,1,0.135190,0.003220
4096,12,0.135190,0.003315
4096,15,0.135190,0.003419
4096,5,0.135190,0.003473
4096,13,0.135190,0.003553
4096,10,0.135190,0.003331
4096,14,0.135190,0.003684
4096,19,0.135190,0.003249
4096,17,0.135190,0.003652
4096,8,0.135190,0.003432
4096,16,0.135190,0.003894
4096,6,0.135190,0.003218
4096,11,0.135190,0.003446
4096,7,0.135190,0.003692
4096,9,0.135190,0.003345
4096,18,0.135190,0.003453
8192,16,0.099497,0.005196
8192,18,0.099497,0.002724
8192,1,0.099497,0.002237
8192,8,0.099497,0.001940
8192,12,0.099497,0.002298
8192,19,0.099497,0.002313
8192,7,0.099497,0.002235
8192,0,0.099497,0.002510
8192,2,0.099497,0.002205
8192,15,0.099497,0.002265
8192,5,0.099497,0.002501
8192,10,0.099497,0.002503
8192,17,0.099497,0.002388
8192,6,0.099497,0.002528
8192,9,0.099497,0.002289
8192,4,0.099497,0.002377
8192,13,0.099497,0.002394
8192,11,0.099497,0.002209
8192,3,0.099497,0.005356
8192,14,0.099497,0.002226
16384,11,0.073011,0.001733
16384,0,0.073011,0.001572
16384,19,0.073011,0.001729
16384,6,0.073011,0.001829
16384,15,0.073011,0.001729
16384,12,0.073011,0.001618
16384,9,0.073011,0.001548
16384,4,0.073011,0.001545
16384,16,0.073011,0.001762
16384,3,0.073011,0.001687
16384,7,0.073011,0.001623
16384,2,0.073011,0.001647
16384,8,0.073011,0.001545
16384,18,0.073011,0.001530
16384,5,0.073011,0.001570
16384,13,0.073011,0.001907
16384,10,0.073011,0.001526
16384,17,0.073011,0.001761
16384,1,0.073011,0.001374
16384,14,0.073011,0.001544
32768,2,0.053439,0.001050
32768,0,0.053439,0.001191
32768,5,0.053439,0.001093
32768,18,0.053439,0.001147
32768,13,0.053439,0.001058
32768,19,0.053439,0.001059
32768,8,0.053439,0.001254
32768,4,0.053439,0.001057
32768,3,0.053439,0.001071
32768,10,0.053439,0.001011
32768,17,0.053439,0.001070
32768,11,0.053439,0.001272
32768,6,0.053439,0.001136
32768,16,0.053439,0.001024
32768,14,0.053439,0.001144
32768,15,0.053439,0.001118
32768,12,0.053439,0.001166
32768,1,0.053439,0.001062
32768,9,0.053439,0.001079
32768,7,0.053439,0.001318
