Number of Points,Trial Number,Graph Bandwidth,Error
4096,3,0.135190,0.139646
4096,17,0.135190,0.140247
4096,15,0.135190,0.144411
4096,7,0.135190,0.134441
4096,6,0.135190,0.138736
4096,14,0.135190,0.142077
4096,2,0.135190,0.135074
4096,0,0.135190,0.147694
4096,4,0.135190,0.144823
4096,12,0.135190,0.138603
4096,5,0.135190,0.130758
4096,1,0.135190,0.141367
4096,8,0.135190,0.154845
4096,10,0.135190,0.134700
4096,13,0.135190,0.145215
4096,9,0.135190,0.137509
4096,18,0.135190,0.136588
4096,11,0.135190,0.141686
4096,16,0.135190,0.133698
4096,19,0.135190,0.152839
4096,21,0.135190,0.155450
4096,20,0.135190,0.139713
4096,22,0.135190,0.136437
4096,24,0.135190,0.149004
4096,23,0.135190,0.139077
4096,30,0.135190,0.135115
4096,29,0.135190,0.141069
4096,27,0.135190,0.137684
4096,25,0.135190,0.145979
4096,26,0.135190,0.142955
4096,31,0.135190,0.145495
4096,28,0.135190,0.145643
4096,32,0.135190,0.127261
4096,33,0.135190,0.142388
4096,34,0.135190,0.130297
4096,38,0.135190,0.143465
4096,35,0.135190,0.144054
4096,39,0.135190,0.135877
4096,36,0.135190,0.148206
4096,37,0.135190,0.137886
4096,40,0.135190,0.146193
4096,41,0.135190,0.138154
4096,45,0.135190,0.137124
4096,44,0.135190,0.135715
4096,47,0.135190,0.142403
4096,42,0.135190,0.131989
4096,46,0.135190,0.151111
4096,43,0.135190,0.137976
4096,48,0.135190,0.155418
4096,51,0.135190,0.146809
4096,50,0.135190,0.142583
4096,49,0.135190,0.147758
4096,52,0.135190,0.140964
4096,53,0.135190,0.133939
4096,54,0.135190,0.148433
4096,56,0.135190,0.146557
4096,58,0.135190,0.151178
4096,55,0.135190,0.126259
4096,57,0.135190,0.147290
4096,59,0.135190,0.147926
4096,63,0.135190,0.144540
4096,62,0.135190,0.131319
4096,60,0.135190,0.134086
4096,61,0.135190,0.139893
4096,64,0.135190,0.130315
4096,66,0.135190,0.136201
4096,65,0.135190,0.135397
4096,67,0.135190,0.141040
4096,68,0.135190,0.145742
4096,69,0.135190,0.144609
4096,70,0.135190,0.133199
4096,71,0.135190,0.134102
4096,72,0.135190,0.140330
4096,74,0.135190,0.138595
4096,73,0.135190,0.135328
4096,75,0.135190,0.139614
4096,76,0.135190,0.149746
4096,79,0.135190,0.136559
4096,77,0.135190,0.145076
4096,78,0.135190,0.147553
4096,81,0.135190,0.133981
4096,80,0.135190,0.148166
4096,82,0.135190,0.139196
4096,83,0.135190,0.139635
4096,84,0.135190,0.140679
4096,85,0.135190,0.129164
4096,87,0.135190,0.139847
4096,86,0.135190,0.154361
4096,89,0.135190,0.144479
4096,88,0.135190,0.144540
4096,90,0.135190,0.140418
4096,92,0.135190,0.143966
4096,91,0.135190,0.137398
4096,94,0.135190,0.143991
4096,93,0.135190,0.134220
4096,95,0.135190,0.141615
4096,98,0.135190,0.149611
4096,97,0.135190,0.153568
4096,99,0.135190,0.140294
4096,96,0.135190,0.127045
8192,2,0.099497,0.099080
8192,4,0.099497,0.109085
8192,7,0.099497,0.103296
8192,12,0.099497,0.100091
8192,3,0.099497,0.105993
8192,10,0.099497,0.109647
8192,5,0.099497,0.102579
8192,13,0.099497,0.106015
8192,15,0.099497,0.110526
8192,14,0.099497,0.094376
8192,19,0.099497,0.110149
8192,6,0.099497,0.105882
8192,16,0.099497,0.109730
8192,1,0.099497,0.104142
8192,17,0.099497,0.107652
8192,0,0.099497,0.104373
8192,9,0.099497,0.106211
8192,18,0.099497,0.110451
8192,11,0.099497,0.108443
8192,8,0.099497,0.103557
8192,21,0.099497,0.103554
8192,22,0.099497,0.107064
8192,23,0.099497,0.109970
8192,20,0.099497,0.098749
8192,24,0.099497,0.103571
8192,26,0.099497,0.115301
8192,30,0.099497,0.108341
8192,27,0.099497,0.113832
8192,34,0.099497,0.109752
8192,28,0.099497,0.105942
8192,29,0.099497,0.102650
8192,35,0.099497,0.104918
8192,25,0.099497,0.108376
8192,33,0.099497,0.116955
8192,32,0.099497,0.104370
8192,38,0.099497,0.110150
8192,31,0.099497,0.112203
8192,36,0.099497,0.108560
8192,37,0.099497,0.103487
8192,39,0.099497,0.105635
8192,40,0.099497,0.102571
8192,42,0.099497,0.108269
8192,41,0.099497,0.114820
8192,43,0.099497,0.111179
8192,44,0.099497,0.100999
8192,49,0.099497,0.113525
8192,47,0.099497,0.108719
8192,45,0.099497,0.114439
8192,48,0.099497,0.101103
8192,46,0.099497,0.104341
8192,50,0.099497,0.099754
8192,54,0.099497,0.106170
8192,51,0.099497,0.103417
8192,57,0.099497,0.109546
8192,55,0.099497,0.110399
8192,56,0.099497,0.116444
8192,59,0.099497,0.104543
8192,58,0.099497,0.114872
8192,53,0.099497,0.110008
8192,52,0.099497,0.103364
8192,60,0.099497,0.114114
8192,64,0.099497,0.113490
8192,62,0.099497,0.100195
8192,63,0.099497,0.110796
8192,61,0.099497,0.109021
8192,66,0.099497,0.104510
8192,67,0.099497,0.108892
8192,69,0.099497,0.107126
8192,65,0.099497,0.105377
8192,68,0.099497,0.102329
8192,72,0.099497,0.104741
8192,70,0.099497,0.109234
8192,71,0.099497,0.104932
8192,76,0.099497,0.109257
8192,73,0.099497,0.097245
8192,74,0.099497,0.095172
8192,78,0.099497,0.107545
8192,79,0.099497,0.106194
8192,75,0.099497,0.106020
8192,77,0.099497,0.111265
8192,80,0.099497,0.114884
8192,81,0.099497,0.105347
8192,86,0.099497,0.103176
8192,84,0.099497,0.106232
8192,82,0.099497,0.107273
8192,85,0.099497,0.110493
8192,83,0.099497,0.104054
8192,87,0.099497,0.108346
8192,90,0.099497,0.109071
8192,88,0.099497,0.100782
8192,91,0.099497,0.110491
8192,92,0.099497,0.113046
8192,94,0.099497,0.108150
8192,89,0.099497,0.102478
8192,93,0.099497,0.106592
8192,96,0.099497,0.109144
8192,95,0.099497,0.108700
8192,99,0.099497,0.112607
8192,98,0.099497,0.117753
8192,97,0.099497,0.111385
16384,14,0.073011,0.075371
16384,6,0.073011,0.077895
16384,19,0.073011,0.084311
16384,10,0.073011,0.081849
16384,2,0.073011,0.085821
16384,12,0.073011,0.078231
16384,5,0.073011,0.080793
16384,3,0.073011,0.083042
16384,9,0.073011,0.082269
16384,0,0.073011,0.085141
16384,8,0.073011,0.082334
16384,7,0.073011,0.086465
16384,15,0.073011,0.081608
16384,1,0.073011,0.077135
16384,4,0.073011,0.083143
16384,13,0.073011,0.084470
16384,18,0.073011,0.084057
16384,11,0.073011,0.083873
16384,17,0.073011,0.086479
16384,16,0.073011,0.081254
16384,29,0.073011,0.080126
16384,20,0.073011,0.081582
16384,30,0.073011,0.084450
16384,24,0.073011,0.083105
16384,21,0.073011,0.079656
16384,26,0.073011,0.076892
16384,22,0.073011,0.080944
16384,23,0.073011,0.080873
16384,33,0.073011,0.080979
16384,25,0.073011,0.080596
16384,37,0.073011,0.082131
16384,28,0.073011,0.075627
16384,27,0.073011,0.085106
16384,35,0.073011,0.083710
16384,34,0.073011,0.085787
16384,31,0.073011,0.080201
16384,36,0.073011,0.084649
16384,38,0.073011,0.084784
16384,32,0.073011,0.084819
16384,39,0.073011,0.079549
16384,40,0.073011,0.080795
16384,42,0.073011,0.080406
16384,41,0.073011,0.083285
16384,43,0.073011,0.082983
16384,46,0.073011,0.075701
16384,48,0.073011,0.076368
16384,47,0.073011,0.079716
16384,45,0.073011,0.081010
16384,44,0.073011,0.086877
16384,49,0.073011,0.087380
16384,55,0.073011,0.085396
16384,53,0.073011,0.079222
16384,51,0.073011,0.079545
16384,54,0.073011,0.083443
16384,50,0.073011,0.084719
16384,52,0.073011,0.079536
16384,58,0.073011,0.082138
16384,57,0.073011,0.078506
16384,59,0.073011,0.076569
16384,56,0.073011,0.080564
16384,60,0.073011,0.081738
16384,61,0.073011,0.079829
16384,62,0.073011,0.079094
16384,63,0.073011,0.084173
16384,65,0.073011,0.083765
16384,64,0.073011,0.084894
16384,68,0.073011,0.078001
16384,66,0.073011,0.083204
16384,69,0.073011,0.077639
16384,67,0.073011,0.080668
16384,70,0.073011,0.084724
16384,71,0.073011,0.078327
16384,73,0.073011,0.082816
16384,76,0.073011,0.081142
16384,74,0.073011,0.080083
16384,72,0.073011,0.083498
16384,77,0.073011,0.083259
16384,78,0.073011,0.085848
16384,75,0.073011,0.084077
16384,79,0.073011,0.080846
16384,80,0.073011,0.080039
16384,81,0.073011,0.085304
16384,85,0.073011,0.081575
16384,82,0.073011,0.083297
16384,83,0.073011,0.078937
16384,88,0.073011,0.080111
16384,84,0.073011,0.081180
16384,87,0.073011,0.080719
16384,89,0.073011,0.084852
16384,86,0.073011,0.084330
16384,93,0.073011,0.083567
16384,94,0.073011,0.079617
16384,92,0.073011,0.078757
16384,91,0.073011,0.082193
16384,90,0.073011,0.079123
16384,96,0.073011,0.083096
16384,99,0.073011,0.086560
16384,97,0.073011,0.082179
16384,95,0.073011,0.082780
16384,98,0.073011,0.078882
32768,15,0.053439,0.061164
32768,3,0.053439,0.062698
32768,0,0.053439,0.059817
32768,6,0.053439,0.062212
32768,17,0.053439,0.060548
32768,18,0.053439,0.061974
32768,19,0.053439,0.057923
32768,12,0.053439,0.061726
32768,8,0.053439,0.063826
32768,16,0.053439,0.060035
32768,1,0.053439,0.060402
32768,4,0.053439,0.063353
32768,5,0.053439,0.064111
32768,13,0.053439,0.061057
32768,2,0.053439,0.061245
32768,14,0.053439,0.062921
32768,7,0.053439,0.062409
32768,9,0.053439,0.060973
32768,11,0.053439,0.059166
32768,10,0.053439,0.058597
32768,22,0.053439,0.060768
32768,20,0.053439,0.061326
32768,25,0.053439,0.062853
32768,31,0.053439,0.059871
32768,21,0.053439,0.060948
32768,24,0.053439,0.061541
32768,28,0.053439,0.061772
32768,27,0.053439,0.063450
32768,23,0.053439,0.061764
32768,26,0.053439,0.060634
32768,39,0.053439,0.063085
32768,37,0.053439,0.060820
32768,33,0.053439,0.061996
32768,29,0.053439,0.067452
32768,32,0.053439,0.065387
32768,35,0.053439,0.061541
32768,30,0.053439,0.065079
32768,36,0.053439,0.062473
32768,38,0.053439,0.066074
32768,34,0.053439,0.061047
32768,40,0.053439,0.059283
32768,41,0.053439,0.066444
32768,44,0.053439,0.057508
32768,46,0.053439,0.061830
32768,42,0.053439,0.063250
32768,47,0.053439,0.064219
32768,43,0.053439,0.059840
32768,49,0.053439,0.060510
32768,52,0.053439,0.059226
32768,50,0.053439,0.064333
32768,53,0.053439,0.060348
32768,54,0.053439,0.062520
32768,45,0.053439,0.058234
32768,51,0.053439,0.061117
32768,48,0.053439,0.060554
32768,55,0.053439,0.061032
32768,56,0.053439,0.061779
32768,59,0.053439,0.061478
32768,57,0.053439,0.060366
32768,58,0.053439,0.062641
32768,60,0.053439,0.060492
32768,61,0.053439,0.062511
32768,62,0.053439,0.059642
32768,64,0.053439,0.060010
32768,69,0.053439,0.061627
32768,71,0.053439,0.064416
32768,63,0.053439,0.062270
32768,66,0.053439,0.064335
32768,68,0.053439,0.064332
32768,67,0.053439,0.059516
32768,65,0.053439,0.060333
32768,72,0.053439,0.061494
32768,73,0.053439,0.059791
32768,74,0.053439,0.061343
32768,75,0.053439,0.059721
32768,70,0.053439,0.061998
32768,77,0.053439,0.064359
32768,76,0.053439,0.060420
32768,78,0.053439,0.060193
32768,79,0.053439,0.060395
32768,80,0.053439,0.061415
32768,81,0.053439,0.058346
32768,82,0.053439,0.064228
32768,83,0.053439,0.059045
32768,85,0.053439,0.060712
32768,87,0.053439,0.059484
32768,84,0.053439,0.059097
32768,90,0.053439,0.059998
32768,89,0.053439,0.060832
32768,93,0.053439,0.062821
32768,88,0.053439,0.061463
32768,91,0.053439,0.060683
32768,86,0.053439,0.059741
32768,92,0.053439,0.063263
32768,94,0.053439,0.063514
32768,96,0.053439,0.059125
32768,95,0.053439,0.060769
32768,99,0.053439,0.061519
32768,97,0.053439,0.063031
32768,98,0.053439,0.060528
65536,2,0.039026,0.045190
65536,13,0.039026,0.045950
65536,6,0.039026,0.045431
65536,1,0.039026,0.047573
65536,9,0.039026,0.047600
65536,5,0.039026,0.045959
65536,12,0.039026,0.047972
65536,7,0.039026,0.045420
65536,11,0.039026,0.044826
65536,0,0.039026,0.046317
65536,3,0.039026,0.045800
65536,14,0.039026,0.046106
65536,4,0.039026,0.045636
65536,16,0.039026,0.045708
65536,8,0.039026,0.045357
65536,15,0.039026,0.045668
65536,10,0.039026,0.044912
65536,19,0.039026,0.047414
65536,17,0.039026,0.046217
65536,18,0.039026,0.046169
65536,20,0.039026,0.045966
65536,22,0.039026,0.044980
65536,21,0.039026,0.047197
65536,23,0.039026,0.046142
65536,30,0.039026,0.046569
65536,26,0.039026,0.049212
65536,34,0.039026,0.046582
65536,29,0.039026,0.045923
65536,33,0.039026,0.048654
65536,25,0.039026,0.048371
65536,27,0.039026,0.045374
65536,24,0.039026,0.056592
65536,38,0.039026,0.045948
65536,32,0.039026,0.046289
65536,35,0.039026,0.046708
65536,36,0.039026,0.046532
65536,37,0.039026,0.049853
65536,28,0.039026,0.046619
65536,31,0.039026,0.046817
65536,39,0.039026,0.045972
65536,40,0.039026,0.047764
65536,43,0.039026,0.046056
65536,42,0.039026,0.047113
65536,41,0.039026,0.046078
65536,48,0.039026,0.046398
65536,50,0.039026,0.046112
65536,44,0.039026,0.046396
65536,46,0.039026,0.046887
65536,47,0.039026,0.052253
65536,45,0.039026,0.043307
65536,51,0.039026,0.047523
65536,49,0.039026,0.045923
65536,54,0.039026,0.045559
65536,55,0.039026,0.047612
65536,53,0.039026,0.047734
65536,52,0.039026,0.047372
65536,56,0.039026,0.045749
65536,58,0.039026,0.045519
65536,57,0.039026,0.045667
65536,59,0.039026,0.050444
65536,60,0.039026,0.048319
65536,63,0.039026,0.045775
65536,62,0.039026,0.046301
65536,61,0.039026,0.045949
65536,64,0.039026,0.045678
65536,67,0.039026,0.044569
65536,69,0.039026,0.050156
65536,66,0.039026,0.045569
65536,68,0.039026,0.049809
65536,72,0.039026,0.047280
65536,65,0.039026,0.046156
65536,73,0.039026,0.048636
65536,74,0.039026,0.049981
65536,75,0.039026,0.044473
65536,71,0.039026,0.045650
65536,70,0.039026,0.046153
65536,79,0.039026,0.044506
65536,77,0.039026,0.044494
65536,76,0.039026,0.046943
65536,78,0.039026,0.046116
65536,80,0.039026,0.045455
65536,81,0.039026,0.043661
65536,82,0.039026,0.045750
65536,83,0.039026,0.045667
65536,88,0.039026,0.047831
65536,86,0.039026,0.045372
65536,87,0.039026,0.044433
65536,85,0.039026,0.046419
65536,84,0.039026,0.049970
65536,89,0.039026,0.044074
65536,90,0.039026,0.046814
65536,91,0.039026,0.046183
65536,95,0.039026,0.046070
65536,93,0.039026,0.050738
65536,92,0.039026,0.045996
65536,98,0.039026,0.044232
65536,94,0.039026,0.046732
65536,99,0.039026,0.045775
65536,97,0.039026,0.049928
65536,96,0.039026,0.046848
