Number of Points,Trial Number,Graph Bandwidth,Error
4096,1,0.112658,0.002586
4096,14,0.112658,0.004898
4096,3,0.112658,0.002550
4096,5,0.112658,0.002717
4096,19,0.112658,0.002896
4096,16,0.112658,0.002874
4096,10,0.112658,0.003061
4096,15,0.112658,0.003078
4096,17,0.112658,0.002585
4096,12,0.112658,0.002268
4096,9,0.112658,0.002460
4096,18,0.112658,0.005622
4096,2,0.112658,0.002603
4096,8,0.112658,0.003403
4096,7,0.112658,0.002701
4096,4,0.112658,0.002494
4096,0,0.112658,0.003595
4096,11,0.112658,0.003219
4096,13,0.112658,0.002727
8192,11,0.082914,0.001985
8192,4,0.082914,0.003395
8192,18,0.082914,0.001702
8192,3,0.082914,0.002318
8192,1,0.082914,0.002449
8192,0,0.082914,0.002371
8192,13,0.082914,0.002115
8192,7,0.082914,0.002107
8192,19,0.082914,0.001609
8192,6,0.082914,0.001827
8192,16,0.082914,0.001447
8192,9,0.082914,0.002288
8192,14,0.082914,0.001951
8192,17,0.082914,0.001848
8192,12,0.082914,0.002215
8192,10,0.082914,0.002211
8192,15,0.082914,0.004533
8192,5,0.082914,0.002045
8192,8,0.082914,0.001565
8192,2,0.082914,0.002305
16384,15,0.060842,0.001771
16384,13,0.060842,0.001425
16384,9,0.060842,0.001628
16384,12,0.060842,0.001171
16384,0,0.060842,0.001472
16384,5,0.060842,0.001241
16384,3,0.060842,0.001626
16384,16,0.060842,0.001341
16384,7,0.060842,0.001373
16384,10,0.060842,0.001490
16384,14,0.060842,0.002806
16384,18,0.060842,0.003633
16384,8,0.060842,0.001135
16384,2,0.060842,0.001126
16384,6,0.060842,0.001092
16384,19,0.060842,0.001360
16384,1,0.060842,0.001291
16384,4,0.060842,0.003480
16384,17,0.060842,0.001162
16384,11,0.060842,0.001442
32768,12,0.044532,0.000934
32768,2,0.044532,0.000900
32768,0,0.044532,0.001628
32768,5,0.044532,0.000919
32768,1,0.044532,0.000811
32768,4,0.044532,0.000993
32768,14,0.044532,0.001441
32768,13,0.044532,0.001403
32768,6,0.044532,0.000728
32768,11,0.044532,0.000858
32768,10,0.044532,0.000801
32768,3,0.044532,0.001003
32768,17,0.044532,0.000925
32768,7,0.044532,0.002275
32768,8,0.044532,0.000867
32768,15,0.044532,0.000858
32768,9,0.044532,0.000825
32768,19,0.044532,0.000949
32768,16,0.044532,0.001110
32768,18,0.044532,0.001066
65536,1,0.032522,0.000549
65536,14,0.032522,0.000771
65536,4,0.032522,0.000691
65536,12,0.032522,0.000553
65536,6,0.032522,0.000623
65536,18,0.032522,0.000594
65536,11,0.032522,0.000632
65536,17,0.032522,0.000564
65536,16,0.032522,0.000591
65536,2,0.032522,0.000574
65536,15,0.032522,0.000577
65536,9,0.032522,0.000997
65536,5,0.032522,0.000561
65536,3,0.032522,0.000683
65536,0,0.032522,0.000666
65536,19,0.032522,0.000535
65536,8,0.032522,0.000868
65536,7,0.032522,0.000671
65536,13,0.032522,0.000626
65536,10,0.032522,0.000778
